species,family,leaf habit,habitat,spcode,individual,spcind,swc,pi_o,psi_tlp,af,rwc_tlp,rwc_tlp_sym,modulus,mod_sym,cap_ft,cap_tlp,cap_ft_sym,cap_tlp_sym
Acer negundo,Sapindaceae,D,Woodland,ACNE,1,ACNE1,4.269,-1.423,-1.613,-36.175,83.987,88.241,9.237,12.579,0.096,0.534,0.071,0.392
Acer negundo,Sapindaceae,D,Woodland,ACNE,2,ACNE2,3.981,-1.368,-1.63,2.13,84.26,83.918,9.85,9.64,0.088,0.335,0.09,0.342
Acer negundo,Sapindaceae,D,Woodland,ACNE,4,ACNE4,4.053,-1.326,-1.463,25.591,92.998,90.59,18.886,14.053,0.048,0.227,0.065,0.306
Acer negundo,Sapindaceae,D,Woodland,ACNE,5,ACNE5,3.919,-1.529,-1.823,-4.269,83.176,83.865,11.124,11.599,0.079,0.321,0.076,0.308
Acer negundo,Sapindaceae,D,Woodland,ACNE,6,ACNE6,6.508,-0.717,-1.807,8.427,44.764,39.68,1.475,1.351,0.287,0.125,0.314,0.136
Alberta magna,Rubiaceae,E,Shrubland,ALMA,1,ALMA1,2.299,-1.373,-2.132,52.648,83.131,64.374,7.624,3.61,0.083,0.099,0.175,0.21
Alberta magna,Rubiaceae,E,Shrubland,ALMA,2,ALMA2,2.14,-1.647,-2.307,39.069,82.568,71.391,9.01,5.49,0.078,0.138,0.128,0.226
Alberta magna,Rubiaceae,E,Shrubland,ALMA,3,ALMA3,2.141,-1.202,-1.762,54.832,85.634,64.374,7.611,3.61,0.086,0.106,0.175,0.21
Alberta magna,Rubiaceae,E,Shrubland,ALMA,4,ALMA4,2.496,-1.437,-1.984,38.552,83.076,72.459,8.179,5.026,0.088,0.157,0.143,0.255
Alberta magna,Rubiaceae,E,Shrubland,ALMA,5,ALMA5,2.405,-1.341,-1.886,45.379,84.205,71.083,8.116,4.433,0.087,0.13,0.159,0.237
Alberta magna,Rubiaceae,E,Shrubland,ALMA,6,ALMA6,2.685,-1.334,-1.754,39.735,85.546,76.016,7.941,4.786,0.092,0.158,0.153,0.263
Alnus rhombifolia,Betulaceae,D,Woodland,ALRH,1,ALRH1,3.545,-1.174,-1.716,-56.025,50.668,68.382,2.19,3.417,0.288,0.42,0.185,0.269
Alnus rhombifolia,Betulaceae,D,Woodland,ALRH,2,ALRH2,2.719,-1.104,-1.363,-11.961,78.698,80.973,5.009,5.608,0.161,0.222,0.144,0.198
Alnus rhombifolia,Betulaceae,D,Woodland,ALRH,3,ALRH3,3.482,-1.11,-1.401,-57.25,67.252,79.175,3.537,5.562,0.225,0.547,0.143,0.348
Alnus rhombifolia,Betulaceae,D,Woodland,ALRH,4,ALRH4,3.186,-1.191,-1.608,-24.426,67.674,74.02,3.396,4.226,0.212,0.349,0.17,0.281
Alnus rhombifolia,Betulaceae,D,Woodland,ALRH,5,ALRH5,4.346,-1.232,-1.41,-104.216,74.28,87.405,4.972,10.154,0.176,0.995,0.086,0.487
Alnus rhombifolia,Betulaceae,D,Woodland,ALRH,6,ALRH6,2.697,-1.628,-2.227,-66.261,55.338,73.137,3.592,5.972,0.198,0.367,0.119,0.221
Angelique sp.,Dialioideae,E,Tropical wet forest,ANGE,1,ANGEH20_533_2,1.432,-1.447,-2.099,-0.029,68.926,68.935,4.321,4.322,0.149,0.141,0.149,0.141
Angelique sp.,Dialioideae,E,Tropical wet forest,ANGE,H20_533_1,ANGEH20_533_1,1.488,-1.274,-1.803,6.427,72.548,70.662,4.623,4.326,0.15,0.199,0.16,0.213
Angelique sp.,Dialioideae,E,Tropical wet forest,ANGE,H21_39_3,ANGEH21_39_3,1.228,-1.206,-1.447,64.09,94.006,83.308,23.77,8.536,0.036,0.062,0.101,0.173
Angelique sp.,Dialioideae,E,Tropical wet forest,ANGE,H20_350_1,ANGEH20_350_1,1.537,-1.281,-1.738,48.374,86.441,73.737,10.202,5.267,0.073,0.155,0.142,0.301
Angelique sp.,Dialioideae,E,Tropical wet forest,ANGE,H20_350_2,ANGEH20_350_2,1.591,-1.35,-1.755,42.089,86.638,76.928,10.568,6.12,0.073,0.183,0.126,0.316
Arctostaphylos bakeri,Ericaceae,E,Chaparral ,ARBA,1,ARBA1,1.199,-2.046,-2.626,50.545,89.083,77.925,19.756,9.771,0.04,0.118,0.081,0.239
Arctostaphylos bakeri,Ericaceae,E,Chaparral ,ARBA,2,ARBA2,1.929,-1.633,-1.976,18.007,85.776,82.652,11.916,9.77,0.07,0.249,0.086,0.304
Arctostaphylos bakeri,Ericaceae,E,Chaparral ,ARBA,3,ARBA3,1.35,-1.88,-2.357,35.42,86.937,79.772,15.492,10.005,0.052,0.178,0.081,0.276
Arctostaphylos bakeri,Ericaceae,E,Chaparral ,ARBA,4,ARBA4,1.601,-1.889,-2.211,22.393,88.696,85.434,17.663,13.708,0.049,0.22,0.063,0.284
Arctostaphylos bakeri,Ericaceae,E,Chaparral ,ARBA,5,ARBA5,1.471,-2.092,-2.531,4.166,83.39,82.668,13.13,12.583,0.063,0.276,0.066,0.289
Arctostaphylos bakeri,Ericaceae,E,Chaparral ,ARBA,6,ARBA6,1.536,-1.879,-2.275,18.508,85.816,82.594,14.079,11.473,0.059,0.243,0.073,0.298
Baccaurea ramiflora ,Phyllanthaceae,E,Woodland,BACCRA,306018,BACCRA306018,6.285,-0.665,-1.021,0.124,69.451,69.536,2.815,3.214,0.253,0.338,3.841,
Baccaurea ramiflora ,Phyllanthaceae,E,Woodland,BACCRA,306018,BACCRA306018,3.341,-0.863,-1.028,-1.014,67.242,66.577,2.751,1.366,0.306,1.061,3.343,
Baccaurea ramiflora ,Phyllanthaceae,E,Woodland,BACCRA,310035,BACCRA310035,3.256,-0.777,-1.094,-0.435,58.494,58.245,1.87,1.303,0.366,0.674,6.116,
Baccaurea ramiflora ,Phyllanthaceae,E,Woodland,BACCRA,411167,BACCRA411167,5.012,-0.775,-0.919,0.041,84.96,84.995,6.099,6.362,0.144,0.608,1.916,
Baccaurea ramiflora ,Phyllanthaceae,E,Woodland,BACCRA,715072,BACCRA715072,3.944,-1.073,-1.503,-0.436,58.905,58.654,2.692,1.875,0.26,0.479,4.135,
Bauhinia galpinii,Fabaceae,D,Shrubland,BAGA,1,BAGA1,1.548,-0.996,-1.258,9.734,81.189,79.16,5.149,4.648,0.15,0.428,0.166,0.474
Bauhinia galpinii,Fabaceae,D,Shrubland,BAGA,2,BAGA2,2.165,-1.235,-1.406,2.847,88.146,87.799,10.565,10.264,0.083,0.371,0.086,0.382
Bauhinia galpinii,Fabaceae,D,Shrubland,BAGA,3,BAGA3,2.261,-1.146,-1.423,-1.205,80.318,80.552,6.736,6.818,0.124,0.346,0.122,0.342
Bauhinia galpinii,Fabaceae,D,Shrubland,BAGA,4,BAGA4,3.34,-1.072,-1.339,3.873,80.822,80.05,6.531,6.278,0.127,0.329,0.132,0.342
Bauhinia galpinii,Fabaceae,D,Shrubland,BAGA,5,BAGA5,2.082,-1.443,-1.636,12.356,89.637,88.176,13.949,12.226,0.063,0.285,0.072,0.325
Bauhinia galpinii,Fabaceae,D,Shrubland,BAGA,6,BAGA6,2.7,-1.044,-1.391,-13.494,71.713,75.076,4.438,5.037,0.178,0.307,0.157,0.271
Betula occidentalis,Betulaceae,D,Woodland,BEOC,1,BEOC1,1.721,-1.275,-1.663,53.462,89.143,76.671,10.799,5.026,0.068,0.127,0.147,0.272
Betula occidentalis,Betulaceae,D,Woodland,BEOC,2,BEOC2,1.809,-1.264,-1.929,60.66,86.446,65.546,8.718,3.429,0.071,0.088,0.18,0.224
Betula occidentalis,Betulaceae,D,Woodland,BEOC,3,BEOC3,1.783,-1.432,-2.065,35.891,80.334,69.324,7.301,4.68,0.094,0.148,0.146,0.231
Betula occidentalis,Betulaceae,D,Woodland,BEOC,4,BEOC4,1.757,-1.188,-1.635,51.863,86.83,72.64,8.742,4.208,0.081,0.121,0.168,0.252
Betula occidentalis,Betulaceae,D,Woodland,BEOC,5,BEOC5,2.215,-1.203,-1.549,43.315,87.367,77.715,8.892,5.041,0.086,0.154,0.151,0.271
Camellia sasanqua,Theaceae,E,Woodland,CASA,1,CASA1,1.879,-1.56,-2.198,5.218,72.454,70.937,6.37,6.037,0.116,0.122,0.216,0.228
Camellia sasanqua,Theaceae,E,Woodland,CASA,3,CASA3,1.676,-2.165,-2.735,-62.096,66.198,79.147,6.604,10.705,0.122,0.408,0.075,0.251
Camellia sasanqua,Theaceae,E,Woodland,CASA,4,CASA4,1.744,-1.616,-2.084,4.941,78.651,77.541,7.745,7.363,0.1,0.282,0.106,0.297
Camellia sasanqua,Theaceae,E,Woodland,CASA,5,CASA5,1.669,-1.462,-2.156,27.365,76.612,67.8,6.12,4.446,0.108,0.149,0.161,0.222
Camellia sasanqua,Theaceae,E,Woodland,CASA,6,CASA6,1.734,-1.685,-2.138,-15.983,75.418,78.806,7.708,8.94,0.105,0.314,0.091,0.271
Cercis occidentalis,Fabaceae,D,Woodland,CEOC,1,CEOC1,2.616,-1.649,-2.565,-56.756,43.99,64.269,2.883,4.519,0.22,0.312,0.14,0.199
Cercis occidentalis,Fabaceae,D,Woodland,CEOC,2,CEOC2,3.909,-2.071,-2.561,-160.823,50.126,80.878,4.133,10.781,0.194,0.612,0.074,0.235
Cercis occidentalis,Fabaceae,D,Woodland,CEOC,3,CEOC3,2.331,-1.48,-1.621,55.054,96.092,91.305,29.517,13.267,0.031,0.127,0.068,0.283
Cercis occidentalis,Fabaceae,D,Woodland,CEOC,4,CEOC4,2.029,-1.755,-2.188,42.444,88.624,80.235,14.66,8.438,0.054,0.134,0.094,0.234
Cercis occidentalis,Fabaceae,D,Woodland,CEOC,6,CEOC6,2.977,-1.565,-2.437,6.237,66.451,64.219,4.703,4.409,0.138,0.188,0.147,0.2
Cercocarpus betuloides,Rosaceae,E,Chaparral ,CEBE_a,1,CEBE_a1,1.564,-1.722,-2.147,-13.349,77.535,80.181,6.416,7.273,0.119,0.163,0.105,0.144
Cercocarpus betuloides,Rosaceae,E,Chaparral ,CEBE_a,2,CEBE_a2,1.593,-1.53,-2.28,-8.982,64.178,67.13,4.29,4.675,0.15,0.113,0.138,0.104
Cercocarpus betuloides,Rosaceae,E,Chaparral ,CEBE_a,3,CEBE_a3,1.61,-1.578,-1.959,-9.722,78.68,80.569,6.649,7.295,0.117,0.161,0.107,0.147
Cercocarpus betuloides,Rosaceae,E,Chaparral ,CEBE_a,5,CEBE_a5,1.477,-1.653,-2.012,-20.296,78.521,82.145,8.792,10.576,0.097,0.341,0.08,0.284
Cercocarpus betuloides,Rosaceae,E,Chaparral ,CEBE_a,6,CEBE_a6,1.676,-1.528,-1.96,-3.345,77.253,77.989,6.895,7.126,0.113,0.227,0.11,0.22
Cercocarpus betuloides,Rosaceae,E,Woodland,CEBE,4,CEBE4,0.771,-1.444,-2.388,63.423,85.534,60.451,9.248,3.383,0.06,0.066,0.165,0.181
Cercocarpus betuloides,Rosaceae,E,Woodland,CEBE,8,CEBE8,0.837,-1.609,-2.529,54.657,83.496,63.601,8.5,3.854,0.068,0.089,0.15,0.196
Cercocarpus betuloides,Rosaceae,E,Woodland,CEBE,9,CEBE9,0.827,-1.644,-2.569,63.55,86.881,64.008,10.86,3.959,0.053,0.067,0.144,0.183
Cercocarpus betuloides,Rosaceae,E,Woodland,CEBE,2,CEBE2,0.8,-1.707,-2.603,61.925,86.89,65.567,11.779,4.485,0.051,0.071,0.134,0.186
Cercocarpus betuloides,Rosaceae,E,Woodland,CEBE,3,CEBE3,0.731,-1.745,-2.57,53.48,85.08,67.928,10.956,5.097,0.058,0.105,0.125,0.225
Clematis lasiantha,Ranunculaceae,E,Chaparral ,CLLA,1.1,CLLA1.1,4.584,-0.956,-1.294,-12.643,70.583,73.885,3.062,3.449,0.236,0.491,0.21,0.436
Clematis lasiantha,Ranunculaceae,E,Chaparral ,CLLA,1.2,CLLA1.2,3.368,-1.18,-1.57,34.785,83.814,75.18,7.018,4.577,0.105,0.219,0.161,0.336
Clematis lasiantha,Ranunculaceae,E,Chaparral ,CLLA,2,CLLA2,4.718,-0.845,-1.376,42.911,77.971,61.413,4.38,4.184,0.15,0.175,0.262,0.306
Clematis lasiantha,Ranunculaceae,E,Chaparral ,CLLA,2.1,CLLA2.1,4.593,-0.801,-1.12,51.95,86.292,71.472,5.241,2.518,0.133,0.17,0.276,0.353
Clematis lasiantha,Ranunculaceae,E,Chaparral ,CLLA,4,CLLA4,4.352,-0.928,-1.167,31.151,85.9,79.52,6.894,4.746,0.117,0.214,0.169,0.311
Clematis lasiantha,Ranunculaceae,E,Chaparral ,CLLA,4.1,CLLA4.1,5.061,-0.926,-1.258,23.003,79.688,73.62,4.662,3.59,0.159,0.282,0.206,0.366
Clematis ligusticifolia,Ranunculaceae,E,Chaparral ,CLLI,1,CLLI1,6.482,-1.256,-1.431,11.568,89.197,87.784,12.655,11.191,0.07,0.379,0.079,0.429
Clematis ligusticifolia,Ranunculaceae,E,Chaparral ,CLLI,2,CLLI2,4.515,-1.25,-1.461,-4.014,85.001,85.58,8.75,9.102,0.098,0.426,0.095,0.41
Clematis ligusticifolia,Ranunculaceae,E,Chaparral ,CLLI,3,CLLI3,5.539,-1.207,-1.357,-0.616,88.844,88.912,11.774,11.847,0.076,0.509,0.076,0.505
Clematis ligusticifolia,Ranunculaceae,E,Chaparral ,CLLI,4,CLLI4,4.499,-1.225,-1.476,32.356,88.501,83.001,10.807,7.311,0.077,0.261,0.113,0.386
Clematis ligusticifolia,Ranunculaceae,E,Chaparral ,CLLI,5,CLLI5,5.581,-1.196,-1.435,-7.764,82.018,83.313,7.178,7.736,0.118,0.41,0.02,0.38
Clematis ligusticifolia,Ranunculaceae,E,Chaparral ,CLLI,6,CLLI6,4.437,-0.974,-1.286,62.11,90.798,75.715,11.4,4.319,0.068,0.142,0.179,0.375
Cleome isomeris,Capparaceae,E,Desert,CLIS,1,CLIS1,7.756,-0.755,-1.043,-24.41,65.727,72.452,2.126,2.645,0.331,0.295,0.266,0.237
Cleome isomeris,Capparaceae,E,Desert,CLIS,2,CLIS2,8.484,-0.936,-1.141,-8.881,80.422,82.019,4.95,5.39,0.167,0.324,0.153,0.297
Cleome isomeris,Capparaceae,E,Desert,CLIS,3,CLIS3,5.807,-1.137,-1.421,-20.037,75.964,79.976,4.969,5.965,0.162,0.52,0.135,0.433
Cleome isomeris,Capparaceae,E,Desert,CLIS,4,CLIS4,5.17,-1.458,-1.887,-52.989,65.271,77.3,3.882,5.939,0.191,0.392,0.125,0.256
Cleome isomeris,Capparaceae,E,Desert,CLIS,5,CLIS5,8.154,-0.953,-1.18,-8.788,79.061,80.753,4.556,4.956,0.177,0.308,0.163,0.283
Cleome isomeris,Capparaceae,E,Desert,CLIS,6,CLIS6,7.35,-1.02,-1.316,-27.104,71.388,77.49,3.042,3.866,0.245,0.396,0.193,0.311
Comarostaphylis diversifolia,Ericaceae,E,Desert,CODI,1,CODI1,0.943,-2.654,-3.228,26.678,86.959,82.214,20.933,15.348,0.039,0.109,0.054,0.149
Comarostaphylis diversifolia,Ericaceae,E,Desert,CODI,2,CODI2,0.961,-2.452,-2.964,51.459,91.625,39.009,28.285,29.123,0.029,0.087,0.028,0.085
Comarostaphylis diversifolia,Ericaceae,E,Desert,CODI,3,CODI3,1.074,-2.184,-2.792,39.59,86.844,45.971,17.055,17.531,0.063,0.105,0.045,0.102
Comarostaphylis diversifolia,Ericaceae,E,Desert,CODI,4,CODI4,0.976,-2.048,-2.612,54.87,90.245,34.474,20.885,21.43,0.038,0.132,0.037,0.078
Comarostaphylis diversifolia,Ericaceae,E,Desert,CODI,5,CODI5,0.947,-1.744,-2.339,63.608,90.748,26.52,18.965,16.989,0.04,0.071,0.039,0.07
Comarostaphylis diversifolia,Ericaceae,E,Desert,CODI,6,CODI6,0.866,-2.33,-2.933,43.215,88.311,88.644,17.586,18.102,0.044,0.098,0.043,0.095
